Rank,Priority,prop_screened,prop_found
526,Medium,0.610917537746806,0.8467432950191571
527,Medium,0.6120789779326364,0.8467432950191571
528,Medium,0.6132404181184669,0.8467432950191571
529,Medium,0.6144018583042973,0.8467432950191571
530,Medium,0.6155632984901278,0.8467432950191571
531,Medium,0.6167247386759582,0.8467432950191571
532,Medium,0.6178861788617886,0.8467432950191571
533,Medium,0.6190476190476191,0.8505747126436781
534,Medium,0.6202090592334495,0.8505747126436781
535,Medium,0.6213704994192799,0.8505747126436781
536,Medium,0.6225319396051103,0.8505747126436781
537,Medium,0.6236933797909407,0.8544061302681992
538,Medium,0.6248548199767712,0.8544061302681992
539,Medium,0.6260162601626016,0.8544061302681992
540,Medium,0.627177700348432,0.8582375478927203
541,Medium,0.6283391405342624,0.8582375478927203
542,Medium,0.629500580720093,0.8582375478927203
543,Medium,0.6306620209059234,0.8582375478927203
544,Medium,0.6318234610917538,0.8582375478927203
545,Medium,0.6329849012775842,0.8582375478927203
546,Medium,0.6341463414634146,0.8582375478927203
547,Medium,0.6353077816492451,0.8582375478927203
548,Medium,0.6364692218350755,0.8620689655172413
549,Medium,0.6376306620209059,0.8620689655172413
550,Medium,0.6387921022067363,0.8620689655172413
551,Medium,0.6399535423925667,0.8620689655172413
552,Medium,0.6411149825783972,0.8620689655172413
553,Medium,0.6422764227642277,0.8620689655172413
554,Medium,0.6434378629500581,0.8620689655172413
555,Medium,0.6445993031358885,0.8620689655172413
556,Medium,0.645760743321719,0.8659003831417624
557,Medium,0.6469221835075494,0.8659003831417624
558,Medium,0.6480836236933798,0.8697318007662835
559,Medium,0.6492450638792102,0.8697318007662835
560,Medium,0.6504065040650406,0.8697318007662835
561,Medium,0.6515679442508711,0.8697318007662835
562,Medium,0.6527293844367015,0.8697318007662835
563,Medium,0.6538908246225319,0.8697318007662835
564,Medium,0.6550522648083623,0.8697318007662835
565,Medium,0.6562137049941928,0.8735632183908046
566,Medium,0.6573751451800233,0.8735632183908046
567,Medium,0.6585365853658537,0.8735632183908046
568,Medium,0.6596980255516841,0.8773946360153256
569,Medium,0.6608594657375145,0.8773946360153256
570,Medium,0.662020905923345,0.8812260536398467
571,Medium,0.6631823461091754,0.8812260536398467
572,Medium,0.6643437862950058,0.8812260536398467
573,Medium,0.6655052264808362,0.8812260536398467
574,Medium,0.6666666666666666,0.8812260536398467
575,Medium,0.667828106852497,0.8812260536398467
576,Medium,0.6689895470383276,0.8812260536398467
577,Medium,0.670150987224158,0.8812260536398467
578,Medium,0.6713124274099884,0.8812260536398467
579,Medium,0.6724738675958188,0.8812260536398467
580,Medium,0.6736353077816493,0.8812260536398467
581,Medium,0.6747967479674797,0.8850574712643678
582,Medium,0.6759581881533101,0.8850574712643678
583,Medium,0.6771196283391405,0.8850574712643678
584,Medium,0.6782810685249709,0.8850574712643678
585,Medium,0.6794425087108014,0.8888888888888888
586,Medium,0.6806039488966318,0.8888888888888888
587,Medium,0.6817653890824622,0.8888888888888888
588,Medium,0.6829268292682927,0.8888888888888888
589,Medium,0.6840882694541232,0.8888888888888888
590,Medium,0.6852497096399536,0.89272030651341
591,Medium,0.686411149825784,0.89272030651341
592,Medium,0.6875725900116144,0.89272030651341
593,Medium,0.6887340301974448,0.89272030651341
594,Medium,0.6898954703832753,0.89272030651341
595,Medium,0.6910569105691057,0.89272030651341
596,Medium,0.6922183507549361,0.89272030651341
597,Medium,0.6933797909407665,0.89272030651341
598,Medium,0.6945412311265969,0.89272030651341
599,Medium,0.6957026713124274,0.89272030651341
600,Medium,0.6968641114982579,0.89272030651341
601,Medium,0.6980255516840883,0.89272030651341
602,Medium,0.6991869918699187,0.89272030651341
603,Medium,0.7003484320557491,0.89272030651341
604,Medium,0.7015098722415796,0.89272030651341
605,Medium,0.70267131242741,0.89272030651341
606,Medium,0.7038327526132404,0.89272030651341
607,Medium,0.7049941927990708,0.89272030651341
608,Medium,0.7061556329849012,0.89272030651341
609,Medium,0.7073170731707317,0.89272030651341
610,Medium,0.7084785133565621,0.89272030651341
611,Medium,0.7096399535423926,0.89272030651341
612,Medium,0.710801393728223,0.89272030651341
613,Medium,0.7119628339140535,0.89272030651341
614,Medium,0.7131242740998839,0.89272030651341
615,Medium,0.7142857142857143,0.89272030651341
616,Medium,0.7154471544715447,0.89272030651341
617,Medium,0.7166085946573751,0.896551724137931
618,Medium,0.7177700348432056,0.896551724137931
619,Medium,0.718931475029036,0.9003831417624522
620,Medium,0.7200929152148664,0.9003831417624522
621,Medium,0.7212543554006968,0.9003831417624522
622,Medium,0.7224157955865272,0.9003831417624522
623,Medium,0.7235772357723578,0.9003831417624522
624,Medium,0.7247386759581882,0.9003831417624522
625,Medium,0.7259001161440186,0.9003831417624522
626,Medium,0.727061556329849,0.9003831417624522
627,Medium,0.7282229965156795,0.9003831417624522
628,Medium,0.7293844367015099,0.9003831417624522
629,Medium,0.7305458768873403,0.9003831417624522
630,Medium,0.7317073170731707,0.9003831417624522
631,Low,0.7328687572590011,0.9042145593869731
632,Medium,0.7340301974448316,0.9042145593869731
633,Medium,0.735191637630662,0.9042145593869731
634,Medium,0.7363530778164924,0.9042145593869731
635,Medium,0.7375145180023229,0.9042145593869731
636,Medium,0.7386759581881533,0.9042145593869731
637,Medium,0.7398373983739838,0.9042145593869731
638,Medium,0.7409988385598142,0.9042145593869731
639,Medium,0.7421602787456446,0.9042145593869731
640,Medium,0.743321718931475,0.9042145593869731
641,Medium,0.7444831591173054,0.9042145593869731
642,Low,0.7456445993031359,0.9042145593869731
643,Medium,0.7468060394889663,0.9042145593869731
644,Medium,0.7479674796747967,0.9042145593869731
645,Medium,0.7491289198606271,0.9042145593869731
646,Medium,0.7502903600464577,0.9042145593869731
647,Medium,0.7514518002322881,0.9042145593869731
648,Medium,0.7526132404181185,0.9042145593869731
649,Medium,0.7537746806039489,0.9042145593869731
650,Medium,0.7549361207897793,0.9042145593869731
651,Medium,0.7560975609756098,0.9080459770114943
652,Medium,0.7572590011614402,0.9080459770114943
653,Medium,0.7584204413472706,0.9080459770114943
654,Medium,0.759581881533101,0.9080459770114943
655,Medium,0.7607433217189314,0.9080459770114943
656,Medium,0.7619047619047619,0.9118773946360154
